LINK,label,OFFICE,SOLNBR,CLASSCOD,DESC,ARCHDATE,CONTACT,AGENCY,RESPDATE,LOCATION,URL,SETASIDE,POPCOUNTRY,POPZIP,ZIP,DATE,iname,YEAR,SUBJECT,EMAIL,OFFADD,NAICS
null,SRCSGT,Naval Sea Systems Command,N0002417R2232,19,Link To Document,12082017,"James Montgomery, Contract Specialist, Phone 2027810635, Email james.m.montgomery@navy.mil - Ryan M. Ksanznak, Contracting Officer, Email ryan.ksanznak1@navy.mil",Department of the Navy,090817,NAVSEA HQ,https://www.fbo.gov/spg/DON/NAVSEA/NAVSEAHQ/N0002417R2232/listing.html,,,,20376,0825,b56e6549-8a8f-11e7-89d1-1cc1de329608,17,Request for Information from potential sources for a 9-meter Rigid Inflatable Boat (RIB) and 9-meter Explosive Ordinance Disposal (EOD) RIB,,SEA 02r1333 Isaac Hull Avenue SE Washington Navy Yard DC 20376,336612
null,SRCSGT,DLA Acquisition Locations,SPE4A617R0868,62,Link To Document,,"Cheryl C. Carter, Aquisition Specialist, Phone 8042791228, Email cheryl.carter@dla.mil - Tracey Holt, Acquisition Specialist, Phone 8042796616, Email Tracey.Holt@dla.mil",Defense Logistics Agency,090117,DLA Aviation - BSM,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/SPE4A617R0868/listing.html,,,,23297-5000,0825,b56e650d-8a8f-11e7-89d1-1cc1de329608,17,"Light, Indicator",,8000 Jefferson Davis Highway Richmond VA 23297-5000,336320
null,SRCSGT,Naval Supply Systems Command,N0038317R004C,15,Link To Document,09162017,Megan KellyMegan.E.Kelly@navy.mil215-697-2533,Department of the Navy,090117,NAVSUP Weapon Systems Support Philadelphia PA,https://www.fbo.gov/spg/DON/NAVSUP/N00383/N0038317R004C/listing.html,N/A,US,52948,19111,0825,b56e654d-8a8f-11e7-89d1-1cc1de329608,17,15--NAVSUP WSS is interested in developing sources for a 4 yr PBL contract in support of HUD Display for F18 A-G aircraft as well as several common components.  Parts listing in attachment,,"N00383 NAVSUP Weapon Systems Support Philadelphia PA NAVSUP  700 Robins Avenue  Philadelphia, PA",336413
null,SRCSGT,Army Contracting Command,W91CRB15C0023,D,Link To Document,,"Sabrinna R. Cosom, Ms., Email sabrinna.r.cosom.civ@mail.mil",Department of the Army,082917,ACC - APG (W91CRB ) Division D,https://www.fbo.gov/notices/4ab625e0ce82115207291c43fc35f4ed,,,,21005-5001,0825,b56e64f7-8a8f-11e7-89d1-1cc1de329608,17,Army Enterprise Equipment System (AE2S),,4310 Boothby Hill Rd ABERDEEN PROV GND  MD 21005-5001,541511
null,SRCSGT,Naval Supply Systems Command,N0038317RP600,81,charlene.disarlo@navy.mil,09012017,Charlene DiSarlocharlene.disarlo@navy.mil215-697-5242charlene.disarlo@navy.mil,Department of the Navy,090117,NAVSUP Weapon Systems Support Philadelphia PA,https://www.fbo.gov/spg/DON/NAVSUP/N00383/N0038317RP600/listing.html,,,,19111,0825,b56e654e-8a8f-11e7-89d1-1cc1de329608,17,81--Storage Container Repair Requirement,charlene.disarlo@navy.mil,"N00383 NAVSUP Weapon Systems Support Philadelphia PA NAVSUP  700 Robins Avenue  Philadelphia, PA",334514
null,SRCSGT,Goddard Space Flight Center,PENCIL-BEAM-VACUUM-CHAMBER,66,Link To Document,,"Odessia Becks, Contract Specialist, Email Odessia.H.Becks@nasa.gov - Lakeshia Robinson, Contracting Officer, Email Lakeshia.M.Robinson@nasa.gov",National Aeronautics and Space Administration,091517,Code 210.S,https://www.fbo.gov/notices/e0099bdc07490782818508bc38c31de6,N/A,US,20771,20771,0825,b56e6528-8a8f-11e7-89d1-1cc1de329608,17,"PENCIL BEAM VACUUM CHAMBER, MANUFACTURE, AND DELIVERY",,"NASA/Goddard Space Flight Center, Code 210.S Greenbelt MD 20771",334519
null,SRCSGT,Long Beach VANLO,VA26217N1862,73,marie.irvin@va.gov,09192017,Marie Irvinmarie.irvin@va.govmarie.irvin@va.gov,Department of Veterans Affairs,083017,Department of Veterans Affairs,https://www.fbo.gov/spg/VA/LBVANBC/VAMD/VA26217N1862/listing.html,N/A,,,90815,0825,b56e652f-8a8f-11e7-89d1-1cc1de329608,17,73--Steam Kettle    ,marie.irvin@va.gov,Department of Veterans Affairs;Network Contracting Office 22;4811 Airport Plaza Drive;Suite 600;Long Beach CA  90815,325998
null,SRCSGT,"Army Contracting Command, ECC",W91WFU-17-T-0021,R,Link To Document,,"Olivia F. Epps, Phone 497117292939, Email olivia.f.epps.civ@mail.mil",Department of the Army,083117,409th CSB (W91WFU) RCO Stuttgart,https://www.fbo.gov/notices/92ba1e68d445ccac7918da65d190eb65,N/A,DE,,09107,0825,b56e6502-8a8f-11e7-89d1-1cc1de329608,17,Religious Support Office Coordinator Services,,null,541611
null,SRCSGT,U.S. Army Corps of Engineers,W912HQ-17-SN-0023,70,Link To Document,,"Sarah R. Lugo, Phone 7034287407, Email sarah.r.lugo@usace.army.mil",Department of the Army,090117,"USACE HEC, Ft. Belvoir",https://www.fbo.gov/spg/USA/COE/DACA72/W912HQ-17-SN-0023/listing.html,,,,22315-3860,0825,b56e655b-8a8f-11e7-89d1-1cc1de329608,17,LawManager Software Licensing,,Attn:  CEHEC-CTr7701 Telegraph Road Alexandria VA 22315-3860,511210
null,SRCSGT,VA Technology Acquisition Center,VA11817Q2518,D,Michael.Frank@va.gov,11302017,Michael FrankContract Specialist732 440-9701Michael.Frank@va.gov,Department of Veterans Affairs,090117,VA Technology Acquisition Center,https://www.fbo.gov/notices/523d258d01583772585e3a30571e086c,,,,07724,0825,b56e656d-8a8f-11e7-89d1-1cc1de329608,17,D--North Atlantic District 1 (NA D1) Telephone Procurement Business Office (TPBO)   ,Michael.Frank@va.gov,Department of Veterans Affairs;Technology Acquisition Center;23 Christopher Way;Eatontown NJ  07724,517110
